"GeneID","X04006","X15004","X16004","X19005","X24005","X26008","X28028","X28032","X31007","X63001","X08018","X24019","X28003","X36001","LAL5"
"1000_at",7.38468443030913,7.36620844058081,7.32887460005737,7.56356138878164,7.59584751986919,7.66361215022461,7.5147611796756,6.9738614069584,7.14784337139951,7.27099661635197,7.23181359397969,7.40613460407688,7.70525986319344,7.7590743828257,7.60409289426118
"1001_at",4.9226265635729,4.73349519252042,5.33277545017787,4.8583920452047,4.80474337453765,5.1245908687471,4.78846817079876,4.97043046300751,4.94385697225677,4.51367055729973,5.05930008155546,4.79133496681127,5.00970486776386,4.96254439021853,4.9889222490372
"1002_f_at",4.20679759992909,3.83161731844262,4.64815436084516,4.09733159138428,3.67723984249471,4.1196600753076,3.92433333395163,3.70633190351478,3.78916625251059,3.63963962848512,3.80470465211354,4.13123422421868,4.23811131990284,3.74067896409116,3.96089366924079
"1003_s_at",6.11689000650711,6.04320452664082,5.90522018241986,5.83882944410321,5.66977117280167,6.27193148856744,5.7196594005151,5.96807201331587,5.85860388923724,5.5198459607158,5.77091357473146,6.34367285307277,6.37913926278338,5.93688327443887,5.76137263170238
"1004_at",6.17024493796163,5.67116352110537,5.72157190168368,5.97002107951269,5.475891966919,6.07309899932439,5.74060679801171,5.90596487619951,5.52619060904693,5.04105196599974,6.04452028370952,6.04820929783024,5.88147234809747,5.61683111350883,6.04816874209523
"1005_at",9.93715527354322,9.74985988070498,9.88460849426287,9.6839960350468,9.62626744300328,9.07181202265064,8.23577103870169,6.76020199153804,9.58826440680417,7.75892933767661,7.62724848326875,10.0378090457905,9.08055917449213,11.6537321751962,9.74113635814473
"1006_at",3.87428851113806,3.68634313234626,4.03698942929095,3.56262966768249,3.42535699038777,3.86313160932631,3.62322672223396,3.948512254551,3.95766822703498,3.50075267873471,3.57602684168294,3.64276630377473,3.66128200498729,3.76522004707632,3.54434327017175
"1007_s_at",6.81639700357263,6.82242688637663,6.7092222156428,6.7984428690671,6.27747340833312,6.33429109449862,6.62296924308843,6.60174575952042,6.35802552397152,6.44171378806032,7.15142156514094,8.55493763380177,8.25394645570976,7.46044642800958,7.477595560892
"1008_f_at",9.53398312715624,8.96767736482451,9.29739807444009,8.46896091695367,8.74536946936881,9.42654850143192,8.67737701664244,9.88164154105082,8.48362113324201,8.70002251518909,8.28171443461802,9.59153758426269,8.50878295164537,8.26271445121094,8.44170810725366
"1009_at",9.13536989487571,9.16880409623878,8.50675389975319,9.21686988915514,9.27504457757882,9.24881247718382,8.58484541040627,8.94621569086024,9.14851791379563,9.12739530605822,9.27885861950678,9.03515869310596,9.01549749522729,9.37473638171065,9.24712861725912
"100_g_at",7.82704430552142,8.07195180253564,8.18036070046061,8.07761830307303,8.10107012454528,7.87255729012183,8.37733337214916,8.18794019781691,8.01923188219599,7.60027337552442,7.54373207258424,7.73791610562943,8.02565335328782,7.86829936532831,7.96807068518483
"1010_at",5.96774148133785,5.27624257406224,5.07877172382745,5.28208567444126,5.01713304491567,6.00005408166218,5.1768636503085,4.89487140420585,4.54322581916555,4.77739034060079,5.25237377460226,5.75916795045034,5.02445959545093,5.09423327116746,5.29490439612245
"1011_s_at",6.68034193800871,5.78583172416404,6.12023593719439,6.13234017759155,6.07832005775262,6.87610701551616,5.7597799657777,7.14553499766627,5.45671715725967,5.58418344373789,5.82644090329692,6.40639332800591,5.97236954076143,6.65415688256586,5.37503803693951
"1012_at",3.78477014825346,3.54868007093874,3.51255702803839,3.68490669562578,3.78943219720515,3.25438839520194,3.88235843509889,3.83296039196823,3.15943681085803,3.02571120883812,3.52346778854442,3.8694318448094,3.76526139352838,3.40663430292493,3.91028409333275
"1013_at",3.47433305949592,3.21437582704767,3.31247083500632,2.88670881842176,3.19949698733581,3.5920910892763,3.4801625341981,3.29847611081952,2.9695776140217,3.60010335241593,2.95647382220278,3.12936133437683,3.11433621068211,2.95988733017536,3.03243458009065
"1014_at",6.97180576798026,7.17266425204774,7.02282667204916,7.2878458797454,7.8664771657268,7.26353360873322,7.86481790602829,7.66103984863275,7.01720817211052,7.52763362267658,7.1624781227593,7.21821465787338,7.46640147608406,7.13037598821697,7.51639901832175
"1015_s_at",5.96204883584895,5.61447673232164,5.76212700635438,5.56935953725277,5.24077937475595,6.08828630039452,5.51676198425916,5.51587144896409,5.39304977049081,5.23798062420033,5.9681089871748,6.05622627176236,5.76008764155854,5.71300631301058,5.74901941994135
"1016_s_at",3.02086931664224,3.2326065518733,3.88297948959964,3.15640759835423,3.08611439390967,3.19551019814663,3.02534244802813,3.44402840469846,3.55379182231852,3.40102505454174,3.44473524759352,3.53253078529215,3.62464384484277,3.20406642999594,3.4140912730017
"1017_at",4.69100735859594,5.01479923096972,4.07388401054684,4.33057821646905,5.9665085647947,4.59840327055186,4.95722680907354,6.16350842286942,4.67147518459469,5.51935025112442,4.38358752484592,4.38116181665954,4.19871440334365,3.97202905523836,5.04368621800608
"1018_at",6.26056361397197,6.73367030260831,6.48401027627076,6.48254727438551,5.90199221042135,6.00288340913359,6.09593151169469,5.9685032481857,6.31125782744982,6.13564425061562,6.23241310842793,6.31480645683592,6.49059675104097,6.21359341600235,6.19621898595077
"1019_g_at",6.89821330119314,6.99678440436459,6.8347024008465,6.92062759405778,6.57750097828512,6.43153779201214,6.65410392090061,6.86316574051114,6.83579967255828,6.65642930932162,6.67314297412105,6.6630653567326,7.04347573033879,6.43774923842443,6.89295219497105
"101_at",5.9306993052905,5.96486672931788,6.79085573680251,5.88598114196168,5.79960951285631,6.30803729813452,5.82737986912091,6.27829221692942,6.20963046749013,5.34812041331184,6.31969401398897,5.01928572502656,6.51003824737325,6.13036117253983,6.05658216871495
"1020_s_at",7.92141261211078,7.13943526981646,7.59780846290305,8.25360181938164,8.03812432206009,7.87103498969328,6.9916999352148,6.00064818179226,7.57363362828823,8.10472101585189,8.14147388850891,8.2823571842087,8.17660652259377,8.62546259558467,7.78845436245302
